46103,5215
46102,5214
46101,5213
46100,5212
46099,5211
46098,5210
46097,5209
46096,5208
46095,5207
46094,5206
46093,5205
46092,5204
46091,5203
46090,5202
46089,5201
46088,5200
46087,5199
46086,5198
46085,5197
46084,5196
46083,5195
46082,5192
46081,5193
46080,5194
46079,5191
46078,5190
46077,5189
46076,5188
46075,5187
46074,5186
46073,5185
46072,5184
46071,5183
46068,5182
46067,5181
46066,5180
46065,5179
46064,5178
46063,5177
46062,5176
46061,5175
46060,5174
46059,5173
46058,5172
46057,5171
46056,5170
46055,5169
46054,5168
46053,5167
46052,5166
46051,5165
46050,5164
46049,5163
46048,5162
46047,5161
46046,5160
46045,5159
46044,5158
46043,5157
46042,5156
46041,5155
46040,5154
46039,5153
46038,5152
46037,5151
46036,5150
46035,5149
46034,5148
46033,5147
46032,5146
46002,5240
46001,5239
46000,5238
45999,5237
45998,5236
45997,5235
45996,5234
45995,5233
45994,5232
45993,5231
45992,5230
45991,5229
45990,5227
