49129,16547
49128,16546
49127,16545
49126,16544
49125,16543
49124,16542
49123,16541
49122,16540
49121,16539
49120,16538
49119,16537
49118,16536
49117,16535
49116,16534
49115,16533
49114,16532
49113,16531
49112,16530
49111,16529
49110,16528
49109,16527
49108,16526
49107,16525
49106,16524
49105,16523
49104,16522
49103,16521
49102,16520
49101,16519
49100,16518
49099,16517
49098,16350
49097,16348
49096,16346
49095,16344
49094,16343
49093,16341
49092,16340
49091,16338
49090,16337
49089,16335
49088,16333
49087,16331
49086,16329
49085,16327
49084,16326
49083,16325
49082,16321
49081,16310
49080,16308
49079,16306
49078,16303
49077,16302
49076,16300
49075,16299
49074,16297
49073,16296
49072,16259
49071,16258
49070,16257
49069,16256
49068,16255
49067,16254
49066,16253
49065,16252
49064,16251
49063,16250
49062,16247
49061,16249
49060,16248
49059,16246
49058,16245
49057,16244
49056,16243
49055,16242
49054,16241
49053,16240
49052,16239
49051,16238
49050,16237
49049,16236
49048,16234
49047,16232
49046,16230
49045,16229
49044,16227
49043,16226
49042,16224
49041,16221
49040,16220
49039,16217
49038,16215
49037,16211
49036,16208
49035,16202
49034,16199
49033,16197
49032,16194
49031,16121
49030,16120
49029,16119
49131,18128
49143,18035
49144,18039
49145,18043
49146,18045
49154,18070
49155,18073
49156,18076
49158,18083
49161,18088
49162,18090
49163,18097
49164,18094
49165,18111
49166,18120
49167,18121
49169,18123
49170,18124
49171,18125
49172,18126
49174,18127
49249,17981
49248,17980
49247,17978
49246,17976
49245,17974
49244,17973
49237,17961
49236,17959
49235,17958
49234,17957
49233,17956
49232,17955
49231,17953
49230,17951
49229,17948
49228,17946
49227,17945
49226,17943
49225,17941
49224,17930
49223,17929
49221,17926
49220,17924
49219,17923
49218,17921
49217,17919
49216,17918
49215,17916
49214,17913
49213,17912
49212,17911
49211,17910
49210,17909
49206,17908
49205,17907
49204,17906
49203,17905
49202,17904
49201,17903
49200,17902
49199,17901
49193,17900
49191,17899
49190,17898
49189,17897
49188,17896
49187,17895
49186,17894
49185,17893
49184,17892
49183,17891
49182,17890
49181,17889
49180,17888
49179,17887
49178,17886
49177,17885
49176,17884
49175,17883
49347,18013
49346,18012
49345,18011
49344,18010
49343,18009
49342,18008
49341,18007
49340,18006
49337,18005
49336,18004
49335,18003
49334,18002
49333,18001
49329,18000
49328,17999
49327,17998
49326,17997
49325,17996
49324,17995
49323,17994
49321,17993
49320,17992
49319,17991
49318,17990
49317,17989
49313,17988
49312,17987
49304,17986
49303,17985
49302,17984
49301,17983
49300,17982
49298,17979
49297,17977
49296,17975
49295,17972
49294,17971
49293,17970
49292,17969
49291,17968
49290,17967
49289,17966
49288,17965
49287,17964
