48807,2206
48806,2205
48805,2204
48804,2203
48803,2202
48802,2201
48801,2200
48800,2199
48799,2198
48798,2197
48797,2196
48796,2195
48795,2194
48794,2193
48793,2192
48792,2191
48791,2190
48790,2189
48789,2188
48788,2187
48787,2186
48786,2185
48785,2184
48784,2183
48783,2182
48782,2181
48781,2180
48780,2179
48779,2178
48778,2177
48777,2176
48776,2175
48775,2174
48774,2172
48773,2171
48772,2170
48771,2169
48770,2168
48769,2167
48768,2166
48767,2165
48766,2164
48765,2163
48764,2162
48763,2161
48762,2160
48761,2159
48760,2158
48759,2157
48758,2156
48757,2155
48756,2154
48755,2153
48754,2152
48753,2151
48752,2150
48751,2149
48750,2148
48749,2147
48748,2173
48747,2146
48746,2145
48745,2144
48744,2143
48743,2142
48742,2141
48741,2140
48740,2139
48739,2138
48738,2137
48737,2136
48736,2135
48735,2134
48734,2133
